Date,Close
2009-01-09,1822.58
2009-01-16,1818.74
2009-01-23,1843.09
2009-02-06,1915.15
2009-02-13,2123.56
2009-02-20,2122.49
2009-02-27,1912.95
2009-03-06,2047.41
2009-03-13,2000.66
2009-03-20,2079.46
2009-03-27,2088.03
2009-04-03,2110.5
2009-04-10,2126.69
2009-04-17,2203.82
2009-04-24,2133.86
2009-05-01,2248.93
2009-05-08,2225.53
2009-05-15,2268.3
2009-05-22,2168.18
2009-05-29,2160.15
2009-06-05,2230.89
2009-06-12,2279.65
2009-06-19,2380.96
2009-06-26,2349.13
2009-07-03,2351.97
2009-07-10,2443.76
2009-07-17,2458.46
2009-07-24,2457.71
2009-07-31,2432.81
2009-08-07,2534.76
2009-08-14,2380.75
2009-08-21,2394.05
2009-08-28,2534.4
2009-09-04,2558.45
2009-09-11,2623.68
2009-09-18,2684.47
2009-09-25,2567.7
2009-10-02,2548.49
2009-10-09,2647.3
2009-10-16,2680.66
2009-10-23,2741.08
2009-10-30,2854.18
2009-11-06,3048.44
2009-11-13,3153.11
2009-11-20,3284.23
2009-11-27,3060.15
2009-12-04,3182.03
2009-12-11,3159.12
2009-12-18,3020.96
2009-12-25,3193.64
2010-01-01,3217.31
2010-01-08,3174.65
2010-01-15,3382.25
2010-01-22,3278.82
2010-01-29,3275.82
2010-02-05,3169.2
2010-02-12,3239.22
2010-02-26,3421.93
2010-03-05,3360.84
2010-03-12,3254.05
2010-03-19,3333.86
2010-03-26,3316.81
2010-04-02,3409.06
2010-04-09,3567.17
2010-04-16,3656.63
2010-04-23,3871.27
2010-04-30,3638.46
2010-05-07,3729.59
2010-05-14,3670.11
2010-05-21,3447.77
2010-05-28,3742.06
2010-06-04,3631.15
2010-06-11,3668.16
2010-06-18,3263.2
2010-06-25,3168.79
2010-07-02,2832.75
2010-07-09,3012.52
2010-07-16,2951.85
2010-07-23,3196.85
2010-07-30,3313.05
2010-08-06,3492.65
2010-08-13,3573.23
2010-08-20,3492.97
2010-08-27,3576.2
2010-09-03,3782.15
2010-09-10,3976.98
2010-09-17,3931.56
2010-09-24,3923.71
2010-10-01,4056.02
2010-10-08,4131.29
2010-10-15,3767.75
2010-10-22,3989.3
2010-10-29,4092.99
2010-11-05,4304.13
2010-11-12,4447.78
2010-11-19,4549.74
2010-11-26,4747.2
2010-12-03,4513.71
2010-12-10,4498.8
2010-12-17,4582.3
2010-12-24,4309.29
2010-12-31,4304.82
2011-01-07,4304.96
2011-01-14,4083.6
2011-01-21,3836.66
2011-01-28,3899.91
2011-02-04,3942.5
2011-02-11,4076.64
2011-02-18,4119.88
2011-02-25,4079.63
2011-03-04,4058.48
2011-03-11,4104.76
2011-03-18,4088.51
2011-03-25,4036.47
2011-04-01,3873.17
2011-04-08,3920.17
2011-04-15,3965.94
2011-04-22,4044.31
2011-04-29,3828.29
2011-05-06,3964.22
2011-05-13,3924.7
2011-05-20,3937.7
2011-05-27,3596.14
2011-06-03,3692.68
2011-06-10,3653.99
2011-06-17,3484.81
2011-06-24,3612.65
2011-07-01,3686.39
2011-07-08,3837.04
2011-07-15,4102.94
2011-07-22,4064.0
2011-07-29,3977.7
2011-08-05,3899.7
2011-08-12,3939.86
2011-08-19,3805.7
2011-08-26,3834.73
2011-09-02,3666.0
2011-09-09,3560.37
2011-09-16,3500.09
