Date,Close
2009-01-09,1257.08
2009-01-16,1343.77
2009-01-23,1362.14
2009-02-06,1540.12
2009-02-13,1697.19
2009-02-20,1653.19
2009-02-27,1438.47
2009-03-06,1523.56
2009-03-13,1478.95
2009-03-20,1587.23
2009-03-27,1682.58
2009-04-03,1713.52
2009-04-10,1782.72
2009-04-17,1835.91
2009-04-24,1747.52
2009-05-01,1789.45
2009-05-08,1849.75
2009-05-15,1853.45
2009-05-22,1829.71
2009-05-29,1854.79
2009-06-05,1840.87
2009-06-12,1840.21
2009-06-19,1899.4
2009-06-26,1879.71
2009-07-03,1887.65
2009-07-10,1959.3
2009-07-17,2058.41
2009-07-24,2064.23
2009-07-31,2170.22
2009-08-07,2094.06
2009-08-14,1888.21
2009-08-21,1835.33
2009-08-28,1883.78
2009-09-04,1866.5
2009-09-11,1935.32
2009-09-18,2089.78
2009-09-25,1901.21
2009-10-02,1808.17
2009-10-09,1899.69
2009-10-16,1949.57
2009-10-23,2031.77
2009-10-30,1953.51
2009-11-06,2104.1
2009-11-13,2164.5
2009-11-20,2314.91
2009-11-27,2118.66
2009-12-04,2232.73
2009-12-11,2295.02
2009-12-18,2167.08
2009-12-25,2376.57
2010-01-01,2406.35
2010-01-08,2560.27
2010-01-15,2744.2
2010-01-22,2523.87
2010-01-29,2509.45
2010-02-05,2423.75
2010-02-12,2453.42
2010-02-26,2576.54
2010-03-05,2579.52
2010-03-12,2497.48
2010-03-19,2679.35
2010-03-26,2726.89
2010-04-02,2827.19
2010-04-09,2909.92
2010-04-16,2934.71
2010-04-23,2998.63
2010-04-30,2728.58
2010-05-07,2657.84
2010-05-14,2555.18
2010-05-21,2440.68
2010-05-28,2589.71
2010-06-04,2527.89
2010-06-11,2599.28
2010-06-18,2443.83
2010-06-25,2498.1
2010-07-02,2209.12
2010-07-09,2297.74
2010-07-16,2281.66
2010-07-23,2450.33
2010-07-30,2559.41
2010-08-06,2650.72
2010-08-13,2632.84
2010-08-20,2625.3
2010-08-27,2651.34
2010-09-03,2803.37
2010-09-10,2809.68
2010-09-17,2791.87
2010-09-24,2737.15
2010-10-01,2815.02
2010-10-08,2871.61
2010-10-15,2800.56
2010-10-22,2979.46
2010-10-29,3194.68
2010-11-05,3338.68
2010-11-12,3159.44
2010-11-19,3200.93
2010-11-26,3303.7
2010-12-03,3193.5
2010-12-10,3174.25
2010-12-17,3223.05
2010-12-24,3080.25
2010-12-31,3061.38
2011-01-07,3067.68
2011-01-14,2889.4
2011-01-21,2763.07
2011-01-28,2791.62
2011-02-04,2828.88
2011-02-11,2915.97
2011-02-18,2999.78
2011-02-25,3080.79
2011-03-04,3061.86
2011-03-11,3072.55
2011-03-18,3049.57
2011-03-25,3059.78
2011-04-01,2949.39
2011-04-08,2965.21
2011-04-15,2947.14
2011-04-22,2904.41
2011-04-29,2710.73
2011-05-06,2749.4
2011-05-13,2773.42
2011-05-20,2742.81
2011-05-27,2528.65
2011-06-03,2559.85
2011-06-10,2506.08
2011-06-17,2425.23
